Macro Processus;Processus;Sous Processus;Entité;Sous-Entité;Activité;Risque;Cause;Description du plan d'action;Porteur;adresse mail du porteur;Date de début du plan d'action;Date de fin du plan d'action ;Avancement du plan d'action;Statut du plan d'action ; DESCRIPTION DU CONTRÔLE;Type de contrôle;Méthode de contrôle;Proba;Gravité;Financier;RH;Image;Juridique;Client;Criticité;maturité CI;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Manager l'audit;Manager l'audit;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Audit & Contrôles Généraux(DAC);Conduire une mission d'enquête;Risque d'inefficacité des missions d'enquête;Complexité et caractère transversal des faits générateurs;;;;;;;;Recours aux structures supports ou au Groupe;Preventif;Manuelle;2;2;2;2;;2;2;;2;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Risques Contrôle Interne Fraude Revenue Assurance(DFRARCI);Piloter la mise en place des mécanismes de détection et de lutte contre la fraude;Risque de fraude ;Demande d'abonnement de client indésirable (fraude à l'abonnement);;;;;;;;"Existence d'une check liste lors de la prise de l'abonnement
Réalisation de visiste de site avant signature du contrat
Contrôle quotidien du top 20 des consommations
Contrôle quotidien des HURs (local + roaming)
Contrôle mensuel du Top 3 des Top  consommations 
                     
";Detectif;Manuelle;1;2;3;;2;;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Risques Contrôle Interne Fraude Revenue Assurance(DFRARCI);Piloter la mise en place des mécanismes de détection et de lutte contre la fraude;Risque d'audit (non contrôle, non détection);Non détection de fraudes sur certains types de services  commercialisés par Orange Guinée;;;;;;;;" -
L'analyse des risques fraude et de pertes est incluse dans le processus d'élaboration des offres marketing et ITN (TTM).
Existence d'un outil FMS (Fraud Management System) et des contrôles RA pour s'assurer de l'exhaustivité et de la correcte facturation des produits et services. ";Preventif;Manuelle;2;2;3;2;1;1;2;;2;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Risques Contrôle Interne Fraude Revenue Assurance(DFRARCI);Piloter la démarche revenue assurance ;Risque de non fiabilité de la facturation;Non réalisation des contrôles RA  (facturation non fiables);;;;;;;;" - Pilotage et reporting mensuel des contrôles RA par FRA
 - Copil RA suivi par le Sponsor FRA membre du CODIR (contrôle de la réalisation exhaustive des contrôles RA)
Recensement de l’ensemble des risques RA à partir des flux de trafics et bench auprès du Groupe et en collaboration avec les opérationnels et mise en place de fiches de contrôles 
- Mise en place de correspondants RA dans les directions
- Des objectifs RA ont été définis pour les Directeurs";Preventif;Manuelle;2;2;1;2;;;;;2;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Risques Contrôle Interne Fraude Revenue Assurance(DFRARCI);Assurer le support à la maîtrise des risques et le pilotage du CI;Risque de non maîtrise des risques;Analyse non approfondie des causes d’incidents;;;;;;;;" - DAMRQ responsable des activités Fraudes et RA
 - Analyse des incidents techniques effectuée avec le support de DRSI et non techniques avec les support  les metiers 
 -Analyse des causes des incidents lors du Copil RA .
";Detectif;Manuelle;2;2;2;2;2;1;2;;2;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Risques Contrôle Interne Fraude Revenue Assurance(DFRARCI);Assurer le support à la maîtrise des risques et le pilotage du CI;Risque de non maîtrise des risques;Non exhaustivité des risques identifiés dans les procedures;;;;;;;;Revue des procédures par RCI pour s'assurer  de l'identification exhaustive des risques ainsi que des contrôles associés .;Preventif;Manuelle;1;2;2;2;2;1;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Risques Contrôle Interne Fraude Revenue Assurance(DFRARCI);Assurer le support à la maîtrise des risques et le pilotage du CI;Risque de non maîtrise des risques;Non prise en charge (ou prise en charge insuffisante) des aspects contrôle interne dans la gestion des activités ;;;;;;;;"  -Sensibilisation sur les risques et le contrôle interne 
  -Pilotage des Kits de contrôles pour toutes directions . ";Preventif;Manuelle;2;2;2;2;2;1;2;;2;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Risques Contrôle Interne Fraude Revenue Assurance(DFRARCI);Assurer le support à la maîtrise des risques et le pilotage du CI;Risque de divulgation d’information confidentielle ;Diffusion non contrôlée de la base risques;;;;;;;;" - Limitation de la diffusion de la cartographie des risques aux propriétaires de risques ,aux responsables opérationnels des processus et aux auditeurs
 - Définition des niveaux de marquage des documents et diffusion des pictogrammes de marquage";Preventif;Manuelle;2;2;1;3;2;;1;;2;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Déployer les normes et piloter l’amélioration continue;Déployer les normes et piloter l’amélioration continue;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Management Integré(DMI);Elaborer et déployer la politique QSE ;Risque de non maîtrise des risques;Récurrence des dysfonctionnements (interne processus)  ;;;;;;;;Organisation  de GAQ dont les thèmes sont choisis en fonction des types de dysfonctionnement (dysfonctionnements importants et/ou récurrents);Detectif;Manuelle;2;2;2;2;2;1;2;;2;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Déployer les normes et piloter l’amélioration continue;Déployer les normes et piloter l’amélioration continue;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Management Integré(DMI);Elaborer et déployer la politique QSE ;Risque de non maîtrise des risques;Analyse non approfondie des causes d’incidents;;;;;;;;"Analyse des causes d'incidents ou de dysfonctionnements lors du GAQ
 remontée et  Analyse des causes des dysfonctionnments  lors des revues de processus   ";Preventif;Manuelle;2;2;2;2;2;1;2;;2;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Déployer les normes et piloter l’amélioration continue;Déployer les normes et piloter l’amélioration continue;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Management Integré(DMI);Elaborer et déployer la politique QSE ;Risque de non-conformité du système QSE;Non application des dispositions prévues (Normes , procedures... );;;;;;;;"Audits QSE interne pour détecter et corriger les non-conformité 
Création systematique des accès qualitoo pour les nouvelles recrues 
deroulement des seances de sensibilisation sur les respect des procedures en internes 
Pilotage du système : cadre et outils définis. ( revue de processus, revue de direction et tableau de bord QSE)";Detectif;Manuelle;2;3;2;;3;3;2;;2;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Déployer les normes et piloter l’amélioration continue;Déployer les normes et piloter l’amélioration continue;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Management Integré(DMI);Elaborer et déployer la politique QSE ;Risque de non-conformité du système QSE;Non maitrise des aspects QSE par les  correspondants  QSE ;;;;;;;;" - Formation du réseau QSE  à l'audit QSE Interne  aux normes et aux méthodes de résolution des problèmes. 
 - Objectifs SAPER fixés aux correspondants
 - Existence d'une lettre de mission qui définit les attributions des Correspondants QSE
- mMse à niveau des Correspondants QSE  au besoin  ' évolution normative)";Preventif;Manuelle;2;3;2;;3;3;2;;2;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Déployer les normes et piloter l’amélioration continue;Déployer les normes et piloter l’amélioration continue;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Management Integré(DMI);Gérer la documentation QSE;Risque de non-conformité du système QSE;Documentation inadaptée (Changement organisationnel);;;;;;;;"Participation à la plupart des projets pouvant affecter le SMI (Chantier de revue documentaire,  Revue de direction )
";Preventif;Manuelle;1;3;2;;3;3;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Déployer les normes et piloter l’amélioration continue;Déployer les normes et piloter l’amélioration continue;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Management Integré(DMI);Produire les rapports : d'écoute, analyse des récla, Tdb , enquête sondage, pilotage des baromètres;Risque de divulgation d’information confidentielle ;Manipulation de données sensibles par des stagiaires/prestataires.;;;;;;;;"Clauses de confidentialité incluses dans les contrats avec les cabinets prestataires des baromètres et études
Existence d'une clause de confidentialité dans les contrats de stagiaires
Sensibilisation  des stagiaires sur la confidentialité des données 

";Preventif;Manuelle;2;2;1;3;2;;1;;2;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Manager l'audit;Manager l'audit;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Audit & Contrôles Généraux(DAC);Conduire une mission d' audit ou de CG;Risque de divulgation d’information confidentielle ;Communication des informations sur les résultats des enquêtes par les Managers (personnes impliquées);;;;;;;;" - Mise en place marquage des documents
 - Indication dans le mail de diffusion des rapports d'enquêtes que le rapport ne doit pas être diffusé
 - Procédure de gestion des données  sensibles 
 - Sensibilisation du CODIR de ne pas transférer les rapports d'enquête
Rapports envoyés aux directeurs concernés uniquement";Preventif;Manuelle;1;2;1;3;2;;1;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Déployer les normes et piloter l’amélioration continue;Déployer les normes et piloter l’amélioration continue;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Management Integré(DMI);Produire les rapports : d'écoute, analyse des récla, Tdb , enquête sondage, pilotage des baromètres;Risque de divulgation d’information confidentielle ;Téléchargement de document confidentiel à partir de Qualitoo;;;;;;;;"Note de service diffusée sur l'interdiction de télécharger les procédures (rappels effectués lors des séances de sensibilisation)
Sensibilisation  du personnel  sur la confidentialité des données ";Preventif;Manuelle;2;2;1;3;2;;1;;2;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Risques Contrôle Interne Fraude Revenue Assurance(DFRARCI);Piloter la mise en place des mécanismes de détection et de lutte contre la fraude;risque de fraude ;Inefficacité  des outils de detection ;;;;;;;;"Existence d'unsuivi journalier de differents controles et alertes et mise en place d'une synthèse mensuelle de l'ensemble des contrôles 
Mise en place d'un reprting journalier des differents detection par oulirs ";Detectif;Manuelle;1;2;3;;2;;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Risques Contrôle Interne Fraude Revenue Assurance(DFRARCI);Piloter la mise en place des mécanismes de détection et de lutte contre la fraude;Risque de fraude ;Inexistence des outils de detection;;;;;;;;"
 Existence d'un outil Groupe de détection de la fraude Simbox ""TBS Probe"" 
-Campagnes de détections de  Simbox réalisées par l'ARPT 
 - Existence des  outils  développés en interne  par la DRSI: 
  SIMLESS: blocage par IMEI
  KILL SIMBOX: profilage 
  Versalytic de Latro ( protocole signature)
  Campagnes de Géolocalisation des équipements SIM BOX ( Latro)
-Analyse des rapports Top 200 Off net ,on net
-Alerte Post paid SysBill ";Detectif;Automatique ;1;2;3;;2;;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Déployer les normes et piloter l’amélioration continue;Déployer les normes et piloter l’amélioration continue;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Management Integré(DMI);Assurer la veille normative;Risque de veille inefficace;Interprétation erronée des normes et bonnes pratiques;;;;;;;;" Deroulement   des formations sur l'iterpretation des points de la norme
Accompagnement des auditeurs QSE   lors de la preparation des adutis QSE
Existence d'une rubrique norme   et réglementaiton dans l'interface qualitoo.";Preventif;Manuelle;1;3;2;2;3;;3;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Manager l'audit;Manager l'audit;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Audit & Contrôles Généraux(DAC);Conduire une mission d' audit ou de CG;Risque de corruption;Acceptation d'avantages lors de missions. Défaut d'intégrité des auditeurs;;;;;;;;"Existence d'une charte d'audit et d'ethique 
Deroulement des seance de sensibilsation sur le l'ethique et a compliance 
existence d'une politique anti corruption /politique cadeau
";Preventif;Manuelle;1;3;3;3;4;3;3;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Manager l'audit;Manager l'audit;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Audit & Contrôles Généraux(DAC);Conduire une mission d' audit ou de CG;Risque d'audit (non contrôle, non détection);Non respect des délais de réalisation des missions;;;;;;;;"- Elaboration d'un plan de charge de l'année tenant compte des contraintes connues (sous dimensionnement des ressources).
Adaptation du plan de charge aux ressources disponibles .
-Pilotage des missions .          
-Realiser  les séances sur l'etat d'avancement des differentes missions 
  Eclatement des differents phase de la mission 
";Preventif;Manuelle;1;2;3;2;1;1;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Manager l'audit;Manager l'audit;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Audit & Contrôles Généraux(DAC);Conduire une mission d' audit ou de CG;Risque d'audit (non contrôle, non détection);Connaissance insuffisante des normes et techniques d'audit;;;;;;;;" - Partage d'informations entre l'équipe et le directeur  AMRQ
 - Convocation de   DAMRQ lors des séances de formation Groupe
 - Conduite de mission conjointe avec SNT/ARQ
 - coaching et supervision par le  Chef de Division  des travaux effectués par les équipes d'audit et de contrôles generaux.
 -Auditeurs expérimentés 
Programme de formation qualifiante des auditeurs 
";Preventif;Manuelle;1;2;3;2;1;1;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Manager l'audit;Manager l'audit;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Audit & Contrôles Généraux(DAC);Conduire une mission d' audit ou de CG;Risque d'audit (non contrôle, non détection);Non maîtrise des activités à auditer;;;;;;;;" Existence d'une phase de prise de connaissance 
- Consultation des procédures du périmètre audité 
-Elaboration d'un Plan d'approche soumis à l'audité 
-Mission d'assistance du Groupe dans le domaine technique 
coaching et supervision par le  Chef de Division  des travaux effectués par les équipes d'audit et de contrôles generaux.
";Preventif;Manuelle;1;2;3;2;1;1;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Manager l'audit;Manager l'audit;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Audit & Contrôles Généraux(DAC);Elaborer le programme d' audit et de contrôle général;Risque d'audit (non contrôle, non détection);Indisponibilité de la cartographie des risques;;;;;;;;"Les cartographies des risques  sont élaborées et diffusées aux acteurs concernés 

Elaboration de l'imput du plan d'audit sur la base de la carto des risques en tenant compte de la criticité.";Preventif;Manuelle;1;2;3;2;1;1;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Manager l'audit;Manager l'audit;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Audit & Contrôles Généraux(DAC);Elaborer le programme d' audit et de contrôle général;Risque d'audit (non contrôle, non détection);Programme d’audit inadapté aux finalités du CI et  attentes des clients (mauvaise priorisation des activités…);;;;;;;;"
- Choix des activités portant sur les risques liés aux enjeux stratégiques et financiers les plus critiques
- capitalisation sur l'expérience
- Exploitation des fiches d'expression de besoins d' audit des différentes entités 
-Programme d'audit elaboré à partir de la cartographie des risques ";Preventif;Manuelle;1;2;3;2;1;1;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Manager l'audit;Manager l'audit;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Audit & Contrôles Généraux(DAC);Elaborer le programme d' audit et de contrôle général;Risque d'audit (non contrôle, non détection);Non fiabilité de la cartographie des risques;;;;;;;;"Les cartographies sont élaborées,mises à disposition avec l'assistance de la Sonatel. 
-Une mise à jour annulle est effectuée par l'equipe RCI en collaboration avec les operationnels .
-Programme d'audit et de contrôles généraux élaboré à partir de la cartographie des risques 
Partage des rapports d'audit , CG et  enquêtes avec le service RCI";Preventif;Manuelle;1;2;3;2;1;1;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Manager l'audit;Manager l'audit;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Audit & Contrôles Généraux(DAC);Elaborer le programme d' audit et de contrôle général;Risque d'audit (non contrôle, non détection);Retard d'élaboration du programme d'audit et de CG;;;;;;;;"Existence d'une procédure d'élaboration du programme d' audit et de contrôles généraux
Anticipation  des missions  sur le plan d'audit ";Preventif;Manuelle;1;2;3;2;1;1;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Manager l'audit;Manager l'audit;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Audit & Contrôles Généraux(DAC);Conduire une mission d' audit ou de CG;Risque d'audit (non contrôle, non détection);"Incompétence ou manque d'expérience des auditeurs
";;;;;;;;"   Programme de formation  qualifiante  des Auditeurs 
  - Phase de prise de connaissance avant le démarrage de la mission
 - Supervision de bout en bout des missions par le Chef de Division ACG et une revue de validation par le DAMRQ
 - Existence d'une procédure d'élaboration d'une mission  d' audit et de contrôles généraux ";Preventif;Manuelle;1;2;3;2;1;1;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Manager l'audit;Manager l'audit;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Audit & Contrôles Généraux(DAC);Conduire une mission d'enquête;Risque d'inefficacité des missions d'enquête;Retard de prise en charge des enquêtes ;;;;;;;;"Les dossiers sensibles sont directement pris en charge par le Chef de Division ACG
 -Octroi aux enquêteurs  un profil d'extracteur pour certaines applications 
-Les enquêteurs sont objectivés sur le delai de prise en charge des remontées pour enquêtes .
";Preventif;Manuelle;1;2;2;2;;2;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Manager l'audit;Manager l'audit;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Audit & Contrôles Généraux(DAC);Conduire une mission d'enquête;Risque d'inefficacité des missions d'enquête;Mauvaise qualification des faits;;;;;;;;"- Validation des rapports est mise  en place au niveau ACG/OGN et intégre la revue de la qualification des infractions
- La procédure de pilotage d'une enquête oblige tout enquêteur à qualifier les faits et évaluer le préjudice financier
";Preventif;Manuelle;1;2;2;2;;2;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Manager l'audit;Manager l'audit;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Audit & Contrôles Généraux(DAC);Conduire une mission d'enquête;Risque d'inefficacité des missions d'enquête;Insuffisance ou non réception des infos sur les faits ( Réseau et SI);;;;;;;;"- Demande de données aux structures supports
- Demande d'explication ";Preventif;Manuelle;1;2;2;2;;2;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Manager l'audit;Manager l'audit;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Audit & Contrôles Généraux(DAC);Conduire une mission d'enquête;Risque d'inefficacité des missions d'enquête;Volumétrie des données traitées;;;;;;;;"Analyse des données avec Excel ou Access en fonction du volume
-demande d'assistance aux supports .";Preventif;Manuelle;1;2;2;2;;2;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Manager l'audit;Manager l'audit;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Audit & Contrôles Généraux(DAC);Conduire une mission d' audit ou de CG;Risque d'audit (non contrôle, non détection);Non détection des dysfonctionnements du CI lors d'une mission d'enquête ;;;;;;;;" -Programme  de formation  des enquêteurs .
 -Existence d'une procédure de pilotage d'une mission d'enquête précisant le recours aux supports au besoin";Preventif;Manuelle;1;2;3;2;1;1;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Manager l'audit;Manager l'audit;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Audit & Contrôles Généraux(DAC);Conduire une mission d' audit ou de CG;Risque d'audit (non contrôle, non détection);Carence dans la réalisation de la phase de prise de connaissance ( phase de prise de connaissance baclée);;;;;;;;Validation du plan d'approche, du programme de travail et la liste des inputs par le Chef de Division ACG .;Detectif;Manuelle;1;2;3;2;1;1;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Manager l'audit;Manager l'audit;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Audit & Contrôles Généraux(DAC);Conduire une mission d'enquête;Risque d'inefficacité des missions d'enquête;Complaisance ou défaut d'objectivité des enquêteurs;;;;;;;;"Diffusion de la charte d'audit
Charte de déontologie de l'enquêteur signée par tous les auditeurs";Preventif;Manuelle;1;2;2;2;;2;2;;3;;;;;;;;;;;;;
